actual_price,predicted_price,fair_value_signal,position
42.6,34.723736,-7.876263999999999,SHORT
44.57,34.52399,-10.046010000000003,SHORT
45.02,34.65467,-10.36533,SHORT
46.49,35.817726,-10.672274000000002,SHORT
49.11,40.163536,-8.946463999999999,SHORT
54.41,44.235813,-10.174186999999996,SHORT
71.34,52.49596,-18.844040000000007,SHORT
75.93,53.283325,-22.64667500000001,SHORT
74.86,51.544613,-23.315387,SHORT
71.5,51.595257,-19.904743000000003,SHORT
69.97,50.61755,-19.352449999999997,SHORT
68.31,45.235332,-23.074668000000003,SHORT
66.09,45.77571,-20.314290000000007,SHORT
67.69,46.541153,-21.148846999999996,SHORT
69.22,48.287598,-20.932401999999996,SHORT
71.66,47.955566,-23.704434,SHORT
78.17,52.623737,-25.546263000000003,SHORT
78.26,51.54542,-26.714580000000005,SHORT
72.84,48.696526,-24.143474000000005,SHORT
64.92,47.24198,-17.678020000000004,SHORT
60.19,42.813408,-17.376591999999995,SHORT
57.67,41.70029,-15.96971,SHORT
53.19,38.730297,-14.459702999999998,SHORT
53.08,40.701252,-12.378748000000002,SHORT
52.46,36.13762,-16.322380000000003,SHORT
53.45,39.147858,-14.302142000000003,SHORT
51.12,38.422005,-12.697994999999999,SHORT
52.25,38.2387,-14.011299999999999,SHORT
50.92,45.100563,-5.819437000000001,SHORT
51.31,43.703064,-7.606936000000005,SHORT
53.16,42.985237,-10.174762999999999,SHORT
57.21,41.965176,-15.244824000000001,SHORT
59.28,44.1629,-15.1171,SHORT
62.57,44.29055,-18.279449999999997,SHORT
58.87,46.33193,-12.538069999999998,SHORT
56.88,44.9671,-11.9129,SHORT
55.44,40.755608,-14.684391999999995,SHORT
54.28,40.859062,-13.420938,SHORT
56.29,44.81849,-11.471510000000002,SHORT
61.72,48.481987,-13.238013000000002,SHORT
67.49,52.793747,-14.696252999999992,SHORT
68.26,51.255875,-17.004125000000002,SHORT
59.58,49.56757,-10.012429999999995,SHORT
56.58,45.20668,-11.37332,SHORT
52.94,41.122826,-11.817173999999994,SHORT
52.43,40.908768,-11.521231999999998,SHORT
49.48,38.086422,-11.393577999999998,SHORT
50.39,37.109474,-13.280526000000002,SHORT
48.59,36.934048,-11.655952000000006,SHORT
49.17,38.233524,-10.936475999999999,SHORT
48.94,36.40182,-12.538179999999997,SHORT
48.56,36.86243,-11.697569999999999,SHORT
48.27,33.815987,-14.454013000000003,SHORT
47.58,32.78317,-14.79683,SHORT
48.3,35.72951,-12.57049,SHORT
52.58,38.308933,-14.271066999999995,SHORT
55.24,43.034412,-12.205587999999999,SHORT
54.47,46.33517,-8.134830000000001,SHORT
54.21,41.621746,-12.588254,SHORT
53.58,42.696747,-10.883252999999996,SHORT
51.56,40.77831,-10.781690000000005,SHORT
54.55,42.109863,-12.440137,SHORT
56.04,46.261322,-9.778678,SHORT
59.35,47.848297,-11.501703,SHORT
67.06,57.139328,-9.920672000000003,SHORT
68.97,59.31633,-9.653669999999998,SHORT
68.09,50.50841,-17.581590000000006,SHORT
67.06,48.195618,-18.864382,SHORT
59.81,46.283855,-13.526145,SHORT
60.5,46.281734,-14.218266,SHORT
54.78,42.042904,-12.737096000000001,SHORT
56.02,42.851727,-13.168273000000006,SHORT
52.75,53.305042,0.5550420000000003,HOLD
52.81,56.77591,3.965910000000001,HOLD
51.88,53.305042,1.4250419999999977,HOLD
51.14,53.7983,2.658299999999997,HOLD
54.01,55.78141,1.771410000000003,HOLD
68.26,55.566154,-12.693846000000008,SHORT
82.32,79.23287,-3.0871299999999877,HOLD
92.39,98.748344,6.358344000000002,LONG
90.06,94.01383,3.9538299999999964,HOLD
83.81,91.51156,7.701560000000001,LONG
77.95,74.70531,-3.2446900000000056,HOLD
72.99,68.90937,-4.080629999999999,HOLD
73.78,62.929646,-10.850354000000003,SHORT
73.51,60.782673,-12.727327000000002,SHORT
76.77,68.770996,-7.999003999999999,SHORT
80.06,80.21634,0.15634000000000015,HOLD
89.12,88.84799,-0.27201000000000874,HOLD
88.19,88.05785,-0.13214999999999577,HOLD
81.21,80.68714,-0.5228599999999943,HOLD
74.48,70.54261,-3.9373900000000077,HOLD
67.17,56.033844,-11.136156,SHORT
61.52,58.683052,-2.8369479999999996,HOLD
55.96,55.906727,-0.053273000000004345,HOLD
54.5,55.146614,0.6466139999999996,HOLD
53.72,55.125656,1.4056560000000005,HOLD
52.51,55.33344,2.823440000000005,HOLD
51.48,49.95015,-1.5298499999999962,HOLD
51.98,49.904434,-2.075565999999995,HOLD
53.02,52.05687,-0.9631299999999996,HOLD
63.3,62.50429,-0.7957099999999997,HOLD
75.32,90.016655,14.696655000000007,LONG
79.12,115.319885,36.199884999999995,LONG
75.23,99.9573,24.7273,LONG
71.66,98.541374,26.881374000000008,LONG
67.53,93.00115,25.471149999999994,LONG
61.51,68.550354,7.040354000000001,LONG
59.32,65.2937,5.973700000000001,LONG
60.56,70.295586,9.735585999999998,LONG
64.28,95.19274,30.91274,LONG
67.46,100.46692,33.00692000000001,LONG
75.4,106.57438,31.17438,LONG
72.26,105.488625,33.228624999999994,LONG
64.83,101.13453,36.30453,LONG
59.32,79.14828,19.82828,LONG
56.03,64.24362,8.213620000000006,LONG
55.04,62.46091,7.420909999999999,LONG
52.39,52.851116,0.461115999999997,HOLD
53.35,54.65726,1.3072599999999994,HOLD
53.21,51.263077,-1.9469229999999982,HOLD
51.93,51.02346,-0.9065399999999997,HOLD
51.28,51.02346,-0.2565400000000011,HOLD
51.18,51.427555,0.24755499999999842,HOLD
53.81,53.59047,-0.2195299999999989,HOLD
65.24,60.87832,-4.361679999999993,HOLD
81.68,72.27449,-9.405510000000007,SHORT
90.19,85.38994,-4.800060000000002,HOLD
89.32,73.85597,-15.464029999999994,SHORT
87.36,73.35019,-14.009810000000002,SHORT
84.26,68.90609,-15.353909999999999,SHORT
81.46,62.384766,-19.075233999999995,SHORT
80.63,59.90973,-20.720269999999992,SHORT
81.58,59.86037,-21.719629999999995,SHORT
82.93,67.77293,-15.157070000000004,SHORT
83.53,71.00494,-12.525059999999996,SHORT
89.24,77.695404,-11.544595999999999,SHORT
89.88,76.59928,-13.280720000000002,SHORT
85.77,69.719284,-16.050715999999994,SHORT
74.77,62.919815,-11.850184999999996,SHORT
67.15,60.92514,-6.224860000000007,SHORT
63.8,54.404102,-9.395897999999995,SHORT
58.5,50.673153,-7.826847000000001,SHORT
60.48,48.24983,-12.230169999999994,SHORT
58.4,47.48658,-10.913420000000002,SHORT
57.2,47.246964,-9.953036000000004,SHORT
55.96,47.17587,-8.784129999999998,SHORT
56.47,47.579964,-8.890036000000002,SHORT
60.52,48.61758,-11.902420000000006,SHORT
75.14,56.716766,-18.423234,SHORT
95.94,63.323784,-32.616215999999994,SHORT
108.18,70.74191,-37.43809,SHORT
107.45,69.58281,-37.86719000000001,SHORT
103.82,67.78162,-36.03837999999999,SHORT
99.72,68.689415,-31.030585000000002,SHORT
95.13,68.47627,-26.653729999999996,SHORT
91.84,68.70903,-23.130970000000005,SHORT
90.0,71.05011,-18.949889999999996,SHORT
91.49,71.27488,-20.21512,SHORT
94.76,72.88784,-21.872160000000008,SHORT
106.06,71.18407,-34.87593,SHORT
113.33,73.91127,-39.41873,SHORT
102.63,70.45674,-32.17326,SHORT
86.56,62.873962,-23.686038000000003,SHORT
73.79,56.694042,-17.095958000000003,SHORT
69.32,55.10572,-14.214279999999995,SHORT
63.82,50.1793,-13.640700000000002,SHORT
62.82,49.28775,-13.532249999999998,SHORT
60.07,45.893986,-14.176014000000002,SHORT
58.4,44.981956,-13.418044000000002,SHORT
56.32,46.908882,-9.411118000000002,SHORT
56.41,48.00512,-8.404879999999999,SHORT
59.34,46.559246,-12.780754000000002,SHORT
71.55,60.443657,-11.106342999999995,SHORT
88.34,68.04221,-20.297790000000006,SHORT
98.35,73.16947,-25.18052999999999,SHORT
95.2,71.77301,-23.426990000000004,SHORT
87.1,72.75751,-14.342489999999998,SHORT
80.35,75.10291,-5.24709,SHORT
74.66,69.64586,-5.014139999999998,SHORT
71.44,74.3174,2.8774000000000086,HOLD
69.14,70.357864,1.2178640000000058,HOLD
68.04,75.03306,6.99306,LONG
68.04,71.911575,3.871574999999993,HOLD
72.52,72.81448,0.2944800000000072,HOLD
73.41,72.81448,-0.5955199999999934,HOLD
61.02,69.93422,8.914219999999993,LONG
51.91,61.161,9.251000000000005,LONG
49.39,52.215816,2.825815999999996,HOLD
47.08,49.974007,2.894007000000002,HOLD
42.75,43.208622,0.4586219999999983,HOLD
43.9,40.566685,-3.333314999999999,HOLD
41.95,44.619072,2.669072,HOLD
41.39,45.26617,3.876170000000002,HOLD
40.2,44.87982,4.679819999999999,HOLD
39.82,46.476295,6.656295,LONG
39.97,42.67732,2.707320000000003,HOLD
40.54,45.360596,4.820596000000002,HOLD
43.24,53.83074,10.590739999999997,LONG
49.82,62.379826,12.559826000000001,LONG
55.14,63.11398,7.973979999999997,LONG
57.81,58.652645,0.8426449999999974,HOLD
59.5,57.5654,-1.9346000000000032,HOLD
58.08,52.145805,-5.9341949999999954,SHORT
57.15,49.710945,-7.439054999999996,SHORT
54.28,48.17164,-6.108360000000005,SHORT
52.77,51.80584,-0.9641599999999997,HOLD
52.94,53.669506,0.7295060000000007,HOLD
58.48,52.432484,-6.047515999999995,SHORT
59.51,51.277184,-8.232816,SHORT
53.85,54.21545,0.3654499999999956,HOLD
48.94,46.719566,-2.2204339999999974,HOLD
44.82,44.127052,-0.6929480000000012,HOLD
44.45,41.457954,-2.992046000000002,HOLD
38.37,35.99503,-2.3749699999999976,HOLD
31.66,36.075226,4.4152260000000005,HOLD
27.38,35.825535,8.445535000000003,LONG
24.49,34.059795,9.569795000000003,LONG
20.76,36.483776,15.723775999999997,LONG
18.75,38.579445,19.829445,LONG
20.25,36.137882,15.887881999999998,LONG
13.83,35.759354,21.929354000000004,LONG
25.52,36.60572,11.085719999999998,LONG
30.15,42.095158,11.945158,LONG
36.65,39.02643,2.376429999999999,HOLD
41.27,40.745354,-0.5246460000000042,HOLD
45.05,41.918606,-3.1313940000000002,HOLD
47.04,42.21631,-4.823689999999999,HOLD
44.32,40.654568,-3.6654320000000027,HOLD
43.09,42.21267,-0.8773300000000006,HOLD
41.75,42.378323,0.6283230000000017,HOLD
42.86,43.382614,0.5226139999999972,HOLD
48.83,53.946102,5.116102000000005,LONG
54.94,54.540314,-0.39968599999999554,HOLD
53.6,51.253586,-2.346414000000003,HOLD
52.07,51.451515,-0.6184849999999997,HOLD
48.28,46.09773,-2.1822700000000026,HOLD
50.41,45.405083,-5.004916999999999,SHORT
45.32,37.540104,-7.779896000000001,SHORT
41.18,33.888863,-7.291136999999999,SHORT
39.49,26.703411,-12.786589000000003,SHORT
38.62,26.281353,-12.338646999999998,SHORT
37.5,28.297886,-9.202114000000002,SHORT
38.52,32.264763,-6.255237000000001,SHORT
41.47,38.899517,-2.570482999999996,HOLD
53.54,36.106693,-17.433307,SHORT
67.12,48.93501,-18.184990000000006,SHORT
67.91,59.642178,-8.267821999999995,SHORT
67.0,64.63841,-2.3615900000000067,HOLD
63.74,65.94673,2.2067300000000003,HOLD
61.46,61.81726,0.3572599999999966,HOLD
