actual_price,predicted_price
52.51,55.33344
51.48,49.95015
51.98,49.904434
53.02,52.05687
63.3,62.50429
75.32,90.016655
79.12,115.319885
75.23,99.9573
71.66,98.541374
67.53,93.00115
61.51,68.550354
59.32,65.2937
60.56,70.295586
64.28,95.19274
67.46,100.46692
75.4,106.57438
72.26,105.488625
64.83,101.13453
59.32,79.14828
56.03,64.24362
55.04,62.46091
52.39,52.851116
53.35,54.65726
53.21,51.263077
51.93,51.02346
51.28,51.02346
51.18,51.427555
53.81,53.59047
65.24,60.87832
81.68,72.27449
90.19,85.38994
89.32,73.85597
87.36,73.35019
84.26,68.90609
81.46,62.384766
80.63,59.90973
81.58,59.86037
82.93,67.77293
83.53,71.00494
89.24,77.695404
89.88,76.59928
85.77,69.719284
74.77,62.919815
67.15,60.92514
63.8,54.404102
58.5,50.673153
60.48,48.24983
58.4,47.48658
57.2,47.246964
55.96,47.17587
56.47,47.579964
60.52,48.61758
75.14,56.716766
95.94,63.323784
108.18,70.74191
107.45,69.58281
103.82,67.78162
99.72,68.689415
95.13,68.47627
91.84,68.70903
90.0,71.05011
91.49,71.27488
94.76,72.88784
106.06,71.18407
113.33,73.91127
102.63,70.45674
86.56,62.873962
73.79,56.694042
69.32,55.10572
63.82,50.1793
62.82,49.28775
60.07,45.893986
58.4,44.981956
56.32,46.908882
56.41,48.00512
59.34,46.559246
71.55,60.443657
88.34,68.04221
98.35,73.16947
95.2,71.77301
87.1,72.75751
80.35,75.10291
74.66,69.64586
71.44,74.3174
69.14,70.357864
68.04,75.03306
68.04,71.911575
72.52,72.81448
73.41,72.81448
61.02,69.93422
51.91,61.161
49.39,52.215816
47.08,49.974007
42.75,43.208622
43.9,40.566685
41.95,44.619072
41.39,45.26617
40.2,44.87982
39.82,46.476295
39.97,42.67732
40.54,45.360596
43.24,53.83074
49.82,62.379826
55.14,63.11398
57.81,58.652645
59.5,57.5654
58.08,52.145805
57.15,49.710945
54.28,48.17164
52.77,51.80584
52.94,53.669506
58.48,52.432484
59.51,51.277184
53.85,54.21545
48.94,46.719566
44.82,44.127052
44.45,41.457954
38.37,35.99503
31.66,36.075226
27.38,35.825535
24.49,34.059795
20.76,36.483776
18.75,38.579445
20.25,36.137882
13.83,35.759354
25.52,36.60572
30.15,42.095158
36.65,39.02643
41.27,40.745354
45.05,41.918606
47.04,42.21631
44.32,40.654568
43.09,42.21267
41.75,42.378323
42.86,43.382614
48.83,53.946102
54.94,54.540314
53.6,51.253586
52.07,51.451515
48.28,46.09773
50.41,45.405083
45.32,37.540104
41.18,33.888863
39.49,26.703411
38.62,26.281353
37.5,28.297886
38.52,32.264763
41.47,38.899517
53.54,36.106693
67.12,48.93501
67.91,59.642178
67.0,64.63841
63.74,65.94673
61.46,61.81726
59.44,63.578552
57.12,52.169548
55.06,63.005222
53.91,64.89375
54.54,61.61939
63.26,60.953873
63.59,64.618484
57.69,57.728897
52.94,56.89228
48.79,52.96919
48.16,52.789486
44.74,46.85305
45.68,43.7303
46.89,38.060783
45.92,36.318695
44.51,38.692493
44.86,39.31008
47.31,42.282063
55.41,52.210842
67.38,69.981316
71.8,77.69132
69.75,71.555916
68.74,65.96533
67.02,63.256195
63.52,56.56649
61.5,54.742027
64.03,52.908947
65.03,54.22385
68.62,59.876293
71.97,71.47679
73.11,74.53752
69.17,64.34306
61.76,57.22279
57.26,50.097115
54.66,45.134422
50.42,41.629723
48.65,38.071533
47.96,43.112236
46.5,42.100704
44.62,40.498287
44.87,41.571247
47.16,47.6635
53.3,58.321156
65.14,72.95205
68.52,79.77985
66.7,78.0009
60.93,74.65618
56.01,64.405945
55.39,59.58889
51.82,59.785828
53.75,59.42811
52.38,63.31874
55.26,73.87805
61.93,74.64374
63.62,81.47281
59.99,75.756325
51.1,62.378227
50.77,56.12413
50.29,51.810154
46.83,44.241962
47.02,44.879333
46.48,45.44203
46.46,45.86193
46.66,43.78996
46.29,46.079903
49.59,52.557056
59.96,54.647343
71.28,67.22688
77.5,60.84291
71.35,67.52086
69.84,69.71698
68.77,71.622574
66.89,70.4471
66.06,67.45696
66.08,59.68041
65.84,68.68901
66.61,69.67354
69.09,67.75738
69.75,66.988335
66.18,66.2246
59.3,60.442726
52.67,48.93249
50.87,48.173958
46.61,45.43357
44.24,44.123524
43.96,43.124054
42.24,39.627644
40.44,38.155857
40.5,40.51212
44.12,46.409897
47.13,53.242577
53.77,58.65012
57.7,65.86579
57.34,60.746822
57.11,61.052704
58.2,61.642826
59.87,58.059208
62.42,56.053677
63.08,58.70938
62.8,57.694603
62.9,57.301697
66.8,61.306366
69.14,60.998444
66.4,57.41815
61.55,48.242573
55.7,45.884373
54.25,45.631905
50.94,41.70931
50.07,37.251602
47.97,40.166546
46.59,38.88236
43.99,36.1135
43.44,35.512104
43.84,36.15193
44.5,36.33507
47.79,36.68794
51.74,40.273964
55.47,45.437237
57.94,46.46671
58.11,46.613796
55.84,48.533886
52.26,47.596405
49.9,47.445786
49.85,48.620644
51.27,50.521988
56.68,54.607327
58.56,54.731125
55.87,52.55979
51.97,47.66109
49.94,43.756706
49.49,41.43178
47.43,38.82009
45.7,36.632225
42.37,31.095032
41.63,31.18648
40.29,31.604929
39.29,31.37509
39.45,28.349585
39.9,26.990839
40.99,26.956911
43.38,31.47647
47.46,39.682407
49.61,41.50975
50.42,42.529457
49.85,45.045414
47.6,43.67117
45.95,41.99197
44.98,41.255276
45.64,42.729065
52.62,50.98943
59.35,53.271324
57.81,52.67952
54.44,50.262177
51.31,48.099503
50.89,48.246777
46.74,44.394756
44.41,40.874638
43.11,45.59279
41.24,43.602444
40.5,42.898613
40.11,41.82574
42.62,45.106705
50.9,63.4682
63.76,77.23373
63.8,77.364365
61.02,75.379196
55.7,69.50972
52.23,71.57674
49.92,68.275116
49.64,61.341957
49.97,62.26198
50.96,62.44748
49.96,63.04875
54.63,65.12139
53.74,67.56962
49.14,63.738525
45.41,57.200848
43.18,51.433838
42.28,51.03702
37.71,44.82389
34.72,45.360188
36.52,41.769093
36.06,40.737663
38.7,39.984257
39.66,40.4447
42.4,42.55358
50.63,51.51125
61.15,60.593815
61.6,61.438293
61.34,59.134193
62.53,54.69879
60.9,51.59706
57.9,54.096695
56.96,52.356125
57.64,49.785896
57.76,51.749535
60.26,51.486633
64.26,57.069965
66.74,57.763344
63.25,54.377438
61.66,48.007343
55.44,40.164574
50.97,39.417767
47.24,37.74145
44.45,39.75036
43.64,39.203423
